xmin,ymin,xmax,ymax
921.4979248046875,6949.04736328125,1006.9681396484375,7040.06103515625
1279.572265625,629.9432983398438,1358.3780517578125,717.8789672851562
1401.2362060546875,3079.3193359375,1651.87109375,3303.17578125
1421.6728515625,3994.1806640625,1524.64111328125,4105.47802734375
1214.9146728515625,4617.556640625,1423.2855224609375,4789.076171875
2015.09033203125,8156.43408203125,2133.165283203125,8300.98828125
2546.700927734375,129.62599182128906,2625.060791015625,206.47222900390625
5851.8984375,7491.7529296875,5956.03271484375,7585.35791015625
8854.767578125,7998.5029296875,8939.54296875,8094.50341796875
10038.4130859375,11453.943359375,10131.9697265625,11542.466796875
11861.8662109375,7858.93115234375,11938.9814453125,7949.86083984375
