xmin,ymin,xmax,ymax,utm_left,utm_right,utm_top,utm_bottom,box_size,ratio
99.11158752441406,226.86993408203125,131.19903564453125,269.564208984375,304369.7778968811,304377.79975891113,6520169.2825164795,6520158.608947754,10.673568725585938,1.3305599978695914
12.32956314086914,426.3955078125,45.448673248291016,452.4976806640625,304348.0823907852,304356.3621683121,6520119.401123047,6520112.875579834,8.279777526855469,1.268825790701916
13.177270889282227,425.92230224609375,45.19679260253906,454.6719970703125,304348.2943177223,304356.29919815063,6520119.5194244385,6520112.332000732,8.004880428314209,1.1137343164520683
144.4993896484375,656.9747314453125,189.230224609375,699.8692626953125,304381.1248474121,304392.30755615234,6520061.756317139,6520051.032684326,11.182708740234375,1.0428097395501321
97.37947845458984,651.13916015625,138.46240234375,689.5032958984375,304369.34486961365,304379.61560058594,6520063.215209961,6520053.624176025,10.270730972290039,1.0708679628610247
43.772850036621094,1180.49072265625,85.2137680053711,1227.466552734375,304355.94321250916,304366.30344200134,6519930.877319336,6519919.133361816,11.74395751953125,1.1335615227816334
11.463294982910156,2446.06201171875,78.64330291748047,2510.671875,304347.8658237457,304364.66082572937,6519614.48449707,6519598.33203125,16.795001983642578,1.0397794473288442
64.73395538330078,3716.10009765625,105.11844635009766,3749.001953125,304361.1834888458,304371.2796115875,6519296.974975586,6519288.749511719,10.096122741699219,1.2274229034029354
63.83544921875,3717.185546875,103.85162353515625,3748.59912109375,304360.9588623047,304370.9629058838,6519296.703613281,6519288.850219727,10.004043579101562,1.273849770731328
145.7189178466797,4569.0009765625,167.1058807373047,4593.5078125,304381.42972946167,304386.7764701843,6519083.749755859,6519077.623046875,6.126708984375,1.1458773301674638
154.03688049316406,7277.828125,184.18577575683594,7308.86328125,304383.5092201233,304391.0464439392,6518406.54296875,6518398.7841796875,7.7587890625,1.0293961347033511
102.88374328613281,7260.1806640625,133.08258056640625,7289.578125,304370.72093582153,304378.2706451416,6518410.954833984,6518403.60546875,7.549709320068359,1.0272600529847524
245.88540649414062,170.56993103027344,272.5879821777344,194.34278869628906,304406.47135162354,304413.14699554443,6520183.357517242,6520177.414302826,6.6756439208984375,1.1232379404587227
210.8568115234375,148.1229248046875,290.30755615234375,217.2919921875,304397.71420288086,304417.5768890381,6520188.969268799,6520171.677001953,19.862686157226562,1.1486455960030566
145.9235076904297,658.146240234375,189.76483154296875,700.0,304381.4808769226,304392.44120788574,6520061.463439941,6520051.0,10.960330963134766,1.0474883044688013
197.58935546875,1216.260498046875,253.4759521484375,1280.13232421875,304394.3973388672,304408.3689880371,6519921.934875488,6519905.966918945,15.96795654296875,1.1428827297885864
198.27951049804688,1217.300537109375,254.78662109375,1279.516845703125,304394.5698776245,304408.69665527344,6519921.674865723,6519906.120788574,15.5540771484375,1.101035036792007
100.0,3642.5771484375,138.14892578125,3682.13134765625,304370.0,304379.5372314453,6519315.355712891,6519305.467163086,9.8885498046875,1.0368365139704847
143.9939422607422,4572.291015625,165.76263427734375,4597.939453125,304380.9984855652,304386.44065856934,6519082.927246094,6519076.515136719,6.412109375,1.1782259347708905
143.94847106933594,4570.8212890625,166.17361450195312,4593.400390625,304380.98711776733,304386.5434036255,6519083.294677734,6519077.649902344,5.644775390625,1.0159260222979416
155.6971435546875,7278.376953125,184.59561157226562,7308.650390625,304383.9242858887,304391.14890289307,6518406.405761719,6518398.837402344,7.568359375,1.0475793208686883
201.01763916015625,9213.041015625,296.73272705078125,9298.482421875,304395.25440979004,304419.1831817627,6517922.739746094,6517901.379394531,23.92877197265625,1.1202424221643121
146.1373291015625,9297.365234375,188.6268310546875,9347.45703125,304381.5343322754,304392.1567077637,6517901.658691406,6517889.1357421875,12.52294921875,1.1789217235415457
197.05877685546875,9213.671875,300.0,9308.88671875,304394.26469421387,304420.0,6517922.58203125,6517898.7783203125,25.735305786132812,1.0811467948717948
244.72952270507812,170.31961059570312,273.9564514160156,195.73040771484375,304406.18238067627,304413.489112854,6520183.420097351,6520177.067398071,7.306732177734375,1.1501775632580367
206.32388305664062,146.4356231689453,292.0367126464844,221.90948486328125,304396.58097076416,304418.0091781616,6520189.391094208,6520170.522628784,21.428207397460938,1.135662435519398
335.93438720703125,572.8397216796875,387.0277099609375,624.982177734375,304428.98359680176,304441.75692749023,6520082.79006958,6520069.754455566,13.035614013671875,1.0205336674976975
200.0,1216.05859375,253.05462646484375,1280.7431640625,304395.0,304408.2636566162,6519921.9853515625,6519905.814208984,16.171142578125,1.2192069687902287
334.6099853515625,1260.97119140625,392.997802734375,1300.0,304428.6524963379,304443.2494506836,6519910.757202148,6519901.0,14.596954345703125,1.4960184409052808
200.0,1216.965576171875,252.80459594726562,1280.681640625,304395.0,304408.2011489868,6519921.758605957,6519905.829589844,15.92901611328125,1.2066386137440828
275.86309814453125,1469.052734375,337.69866943359375,1524.62646484375,304413.96577453613,304429.4246673584,6519858.736816406,6519844.843383789,15.458892822265625,1.1126762728990027
302.6966247558594,2405.1826171875,322.123779296875,2422.4482421875,304420.67415618896,304425.5309448242,6519624.704345703,6519620.387939453,4.856788635253906,1.125192661199095
302.2970275878906,2403.99853515625,322.5194091796875,2425.0263671875,304420.574256897,304425.6298522949,6519625.000366211,6519619.743408203,5.2569580078125,1.039829652892113
282.2010803222656,4400.0234375,307.0458068847656,4420.380859375,304415.55027008057,304421.7614517212,6519125.994140625,6519120.904785156,6.211181640625,1.2204259810035498
261.19598388671875,7012.169921875,306.0394592285156,7054.822265625,304410.2989959717,304421.5098648071,6518472.957519531,6518462.294433594,11.210868835449219,1.0513718918857038
306.033447265625,8183.3515625,334.289794921875,8213.453125,304421.5083618164,304428.57244873047,6518180.162109375,6518172.63671875,7.525390625,1.0653026663671397
372.373779296875,10863.49609375,389.80218505859375,10883.146484375,304438.0934448242,304442.45054626465,6517510.1259765625,6517505.213378906,4.91259765625,1.1274921466518646
336.06597900390625,572.8367919921875,387.80548095703125,625.0198974609375,304429.016494751,304441.95137023926,6520082.790802002,6520069.745025635,13.0457763671875,1.0085737878966616
435.2928466796875,2462.04052734375,476.523193359375,2498.69482421875,304453.8232116699,304464.13079833984,6519610.489868164,6519601.326293945,10.307586669921875,1.1248434752491074
464.16717529296875,6769.787109375,498.508544921875,6800.0,304461.04179382324,304469.62713623047,6518533.553222656,6518526.0,8.585342407226562,1.1366462764238154
466.67657470703125,6768.755859375,497.94769287109375,6804.8681640625,304461.66914367676,304469.4869232178,6518533.811035156,6518524.782958984,9.028076171875,1.154813348791637
306.54705810546875,8185.5390625,333.99615478515625,8214.333984375,304421.63676452637,304428.4990386963,6518179.615234375,6518172.416503906,7.19873046875,1.049029853733162
480.24346923828125,630.3565673828125,527.0615844726562,686.0577392578125,304465.06086730957,304476.76539611816,6520068.410858154,6520054.485565186,13.92529296875,1.1897354602199544
478.62310791015625,631.53076171875,527.2477416992188,687.03125,304464.65577697754,304476.8119354248,6520068.11730957,6520054.2421875,13.8751220703125,1.1414068128927304
435.17706298828125,2460.78173828125,475.962646484375,2499.87451171875,304453.79426574707,304463.9906616211,6519610.80456543,6519601.03137207,10.196395874023438,1.0433023781569284
528.2595825195312,2626.4404296875,571.5244140625,2667.64306640625,304477.0648956299,304487.8811035156,6519569.389892578,6519559.089233398,10.816207885742188,1.05005006932676
419.7835693359375,4506.921875,447.03131103515625,4538.712890625,304449.945892334,304456.7578277588,6519099.26953125,6519091.321777344,7.94775390625,1.1667394669229236
475.41705322265625,6275.033203125,515.2552490234375,6309.158203125,304463.85426330566,304473.81381225586,6518657.241699219,6518648.710449219,9.959548950195312,1.167419657165751
463.7415771484375,6769.5537109375,496.1153564453125,6800.0,304460.9353942871,304469.0288391113,6518533.611572266,6518526.0,8.09344482421875,1.0633078872245565
466.4805908203125,6769.1904296875,495.1552734375,6805.814453125,304461.6201477051,304468.7888183594,6518533.702392578,6518524.546386719,9.156005859375,1.2772250673682328
479.739990234375,10539.580078125,507.2828369140625,10564.912109375,304464.9349975586,304471.8207092285,6517591.104980469,6517584.771972656,6.885711669921875,1.0872735158057054
569.6796875,364.1268310546875,612.783447265625,400.0,304487.419921875,304498.1958618164,6520134.968292236,6520126.0,10.77593994140625,1.2015598574894597
568.691162109375,365.844482421875,611.165771484375,409.003662109375,304487.17279052734,304497.7914428711,6520134.5388793945,6520123.749084473,10.789794921875,1.016117165586058
625.8680419921875,350.6024169921875,646.8218994140625,376.52362060546875,304501.46701049805,304506.7054748535,6520138.349395752,6520131.869094849,6.4803009033203125,1.2370611812133712
593.1536865234375,619.84765625,632.10205078125,664.139404296875,304493.28842163086,304503.0255126953,6520071.0380859375,6520059.965148926,11.07293701171875,1.1371914813595976
650.0560302734375,2034.18701171875,682.161376953125,2071.325439453125,304507.51400756836,304515.5403442383,6519717.45324707,6519708.168640137,9.28460693359375,1.1567676905937865
650.5665283203125,2033.12060546875,682.025146484375,2071.9658203125,304507.6416320801,304515.5062866211,6519717.719848633,6519708.008544922,9.7113037109375,1.2348035963043589
529.6461181640625,2625.51953125,569.8609619140625,2668.693359375,304477.411529541,304487.4652404785,6519569.6201171875,6519558.826660156,10.79345703125,1.073579407479359
538.96728515625,6800.0400390625,567.303955078125,6829.0478515625,304479.74182128906,304486.82598876953,6518525.989990234,6518518.738037109,7.251953125,1.023684595966123
672.6077880859375,10035.5546875,697.8494873046875,10060.962890625,304513.1519470215,304519.4623718262,6517717.111328125,6517710.759277344,6.35205078125,1.0065963826288808
673.25244140625,10036.01953125,698.102294921875,10059.95703125,304513.31311035156,304519.52557373047,6517716.9951171875,6517711.0107421875,6.21246337890625,1.0381139849869452
679.226806640625,10674.427734375,699.5062255859375,10704.255859375,304514.80670166016,304519.8765563965,6517557.393066406,6517549.936035156,7.45703125,1.4708569846324242
639.209716796875,11127.916015625,661.6466064453125,11157.4296875,304504.8024291992,304510.4116516113,6517444.020996094,6517436.642578125,7.37841796875,1.3154083448039477
626.779296875,350.7669677734375,647.099853515625,378.59210205078125,304501.69482421875,304506.7749633789,6520138.308258057,6520131.351974487,6.9562835693359375,1.3693096488171759
626.88232421875,349.511474609375,647.0274658203125,375.86224365234375,304501.7205810547,304506.7568664551,6520138.622131348,6520132.034439087,6.5876922607421875,1.3080458586066692
600.0,619.3660888671875,631.2891845703125,665.4859619140625,304495.0,304502.8222961426,6520071.158477783,6520059.6285095215,11.52996826171875,1.4739876951166702
717.345458984375,1124.70654296875,788.2169189453125,1194.24853515625,304524.3363647461,304542.0542297363,6519944.823364258,6519927.437866211,17.717864990234375,1.0191174818497142
656.683349609375,1226.41748046875,712.821044921875,1276.845947265625,304509.17083740234,304523.20526123047,6519919.395629883,6519906.788513184,14.034423828125,1.1132143981022005
712.850830078125,1118.593994140625,791.6397705078125,1222.174072265625,304523.21270751953,304542.90994262695,6519946.351501465,6519920.456481934,25.89501953125,1.3146525078280054
655.4825439453125,1226.618408203125,712.9107666015625,1278.47607421875,304508.8706359863,304523.2276916504,6519919.345397949,6519906.380981445,14.3570556640625,1.1074201187331987
650.5008544921875,2033.951416015625,680.550537109375,2071.899169921875,304507.62521362305,304515.13763427734,6519717.512145996,6519708.0252075195,9.4869384765625,1.2628337673205587
691.596435546875,2021.944580078125,755.9112548828125,2079.567626953125,304517.8991088867,304533.9778137207,6519720.5138549805,6519706.108093262,16.078704833984375,1.116130139307867
686.461669921875,2009.36181640625,759.9322509765625,2082.996337890625,304516.61541748047,304534.98306274414,6519723.659545898,6519705.250915527,18.40863037109375,1.002231375161787
650.83642578125,2033.0107421875,680.5706787109375,2071.10888671875,304507.7091064453,304515.14266967773,6519717.747314453,6519708.22277832,9.5245361328125,1.2812881030285366
616.0189208984375,2712.46630859375,668.71630859375,2776.69140625,304499.0047302246,304512.17907714844,6519547.883422852,6519531.8271484375,16.0562744140625,1.2187529679381603
681.19873046875,4720.3212890625,710.740478515625,4746.6875,304515.2996826172,304522.6851196289,6519045.919677734,6519039.328125,7.38543701171875,1.1204396459128116
681.447021484375,4720.2744140625,710.390869140625,4747.69140625,304515.3617553711,304522.59771728516,6519045.931396484,6519039.0771484375,7.2359619140625,1.0556901157613534
742.97119140625,4900.0,764.0670166015625,4919.8271484375,304530.74279785156,304536.0167541504,6519001.0,6518996.043212891,5.273956298828125,1.0639868492341034
701.335693359375,5320.5078125,775.6910400390625,5390.587890625,304520.33392333984,304538.92276000977,6518895.873046875,6518878.353027344,18.588836669921875,1.0610054764359969
702.271484375,5320.2119140625,771.809814453125,5385.2197265625,304520.56787109375,304537.9524536133,6518895.947021484,6518879.695068359,17.38458251953125,1.0696918940031246
715.85693359375,6655.859375,749.814697265625,6684.9072265625,304523.96423339844,304532.4536743164,6518562.03515625,6518554.773193359,8.48944091796875,1.169028408135821
715.976318359375,6655.1376953125,748.89306640625,6684.82421875,304523.99407958984,304532.22326660156,6518562.215576172,6518554.7939453125,8.22918701171875,1.1088111451034572
726.911376953125,7154.2470703125,798.9759521484375,7217.802734375,304526.7278442383,304544.7439880371,6518437.438232422,6518421.549316406,18.016143798828125,1.1338812403005485
673.4371337890625,10036.0859375,697.163818359375,10061.48046875,304513.35928344727,304519.29095458984,6517716.978515625,6517710.6298828125,6.3486328125,1.0702941312657883
711.860595703125,9980.3671875,732.491455078125,10001.90234375,304522.9651489258,304528.12286376953,6517730.908203125,6517725.5244140625,5.3837890625,1.0438322446274733
682.7493896484375,9993.236328125,705.746826171875,10024.314453125,304515.6873474121,304521.43670654297,6517727.690917969,6517719.921386719,7.76953125,1.351373444093527
672.533203125,10035.76171875,696.57470703125,10060.5859375,304513.13330078125,304519.1436767578,6517717.0595703125,6517710.853515625,6.2060546875,1.032556817027845
634.5269775390625,10951.896484375,656.211181640625,10971.51171875,304503.63174438477,304509.05279541016,6517488.025878906,6517483.1220703125,5.421051025390625,1.1054776959075974
743.980712890625,11073.572265625,790.22607421875,11120.857421875,304530.99517822266,304542.5565185547,6517457.606933594,6517445.785644531,11.8212890625,1.0224843074421526
638.8446044921875,11129.630859375,662.2686767578125,11156.373046875,304504.71115112305,304510.56716918945,6517443.592285156,6517436.906738281,6.685546875,1.1416540726457867
715.0557861328125,1124.37939453125,788.487548828125,1195.386474609375,304523.7639465332,304542.12188720703,6519944.905151367,6519927.153381348,18.357940673828125,1.0341470542728946
715.006103515625,1119.19580078125,787.28369140625,1228.44677734375,304523.7515258789,304541.82092285156,6519946.201049805,6519918.888305664,27.312744140625,1.511547074977453
700.0,2026.84521484375,758.299072265625,2078.53369140625,304520.0,304534.5747680664,6519719.288696289,6519706.366577148,14.57476806640625,1.1278930265072078
700.0,2018.9365234375,760.176513671875,2079.656982421875,304520.0,304535.04412841797,6519721.265869141,6519706.0857543945,15.18011474609375,1.0090391629443005
812.21923828125,3126.7119140625,877.8968505859375,3188.8212890625,304548.0548095703,304564.4742126465,6519444.322021484,6519428.794677734,16.419403076171875,1.0574508647798742
800.2786865234375,4401.017578125,817.9825439453125,4420.44921875,304545.06967163086,304549.4956359863,6519125.745605469,6519120.8876953125,4.85791015625,1.097593601323864
812.4617919921875,4687.396484375,840.919921875,4712.9130859375,304548.11544799805,304555.22998046875,6519054.150878906,6519047.771728516,7.114532470703125,1.1152790003444448
821.6016845703125,4716.87109375,843.4188232421875,4744.990234375,304550.4004211426,304555.85470581055,6519046.7822265625,6519039.752441406,7.02978515625,1.2888555666215324
744.82666015625,4901.9990234375,763.62548828125,4919.931640625,304531.20666503906,304535.9063720703,6519000.500244141,6518996.017089844,4.69970703125,1.0483036540870228
742.7906494140625,4900.0,764.9708251953125,4920.3349609375,304530.6976623535,304536.2427062988,6519001.0,6518995.916259766,5.5450439453125,1.0907410075397397
702.49609375,5321.5771484375,770.9344482421875,5385.322265625,304520.6240234375,304537.73361206055,6518895.605712891,6518879.669433594,17.109588623046875,1.0736250478743776
786.06005859375,5355.4638671875,811.6378173828125,5378.4462890625,304541.51501464844,304547.9094543457,6518887.134033203,6518881.388427734,6.394439697265625,1.1129270417268633
720.3062744140625,5351.1220703125,782.0411376953125,5425.6103515625,304525.0765686035,304540.5102844238,6518888.219482422,6518869.597412109,18.6220703125,1.2065837241859325
726.3360595703125,7153.6376953125,801.60546875,7218.9013671875,304526.5840148926,304545.4013671875,6518437.590576172,6518421.274658203,18.817352294921875,1.1533125093520873
788.388916015625,9665.591796875,823.0323486328125,9699.408203125,304542.0972290039,304550.7580871582,6517809.602050781,6517801.147949219,8.660858154296875,1.0244563647914982
821.1839599609375,10800.0,844.7142333984375,10826.783203125,304550.29598999023,304556.1785583496,6517526.0,6517519.304199219,6.69580078125,1.1382444490558208
831.9000244140625,10974.33984375,848.7685546875,10996.41796875,304552.9750061035,304557.1921386719,6517482.4150390625,6517476.8955078125,5.51953125,1.3088351292089704
745.8389892578125,11075.08984375,790.9200439453125,11120.794921875,304531.45974731445,304542.7300109863,6517457.2275390625,6517445.801269531,11.42626953125,1.0138422546195005
776.0556640625,11103.578125,810.0909423828125,11131.3671875,304539.0139160156,304547.5227355957,6517450.10546875,6517443.158203125,8.508819580078125,1.2247724557211133
919.9071044921875,2545.20556640625,954.097412109375,2599.30419921875,304574.97677612305,304583.52435302734,6519589.698608398,6519576.173950195,13.524658203125,1.5822797916361702
812.0068359375,3125.3583984375,877.6160888671875,3193.97900390625,304548.0017089844,304564.4040222168,6519444.660400391,6519427.505249023,17.1551513671875,1.0458982903263618
939.7197265625,3445.462890625,983.0286865234375,3487.3388671875,304579.9299316406,304590.75717163086,6519364.634277344,6519354.165283203,10.827239990234375,1.0342197010330916
952.6834716796875,3517.8515625,978.53173828125,3545.9921875,304583.1708679199,304589.6329345703,6519346.537109375,6519339.501953125,7.03515625,1.0886851885959319
940.514404296875,3448.6591796875,978.4332275390625,3486.94384765625,304580.1286010742,304589.60830688477,6519363.835205078,6519354.264038086,9.5711669921875,1.0096481033766753
949.7373046875,3519.7275390625,978.797607421875,3548.046875,304582.4343261719,304589.69940185547,6519346.068115234,6519338.98828125,7.26507568359375,1.026164695334322
844.345703125,4380.353515625,864.281982421875,4399.8603515625,304556.08642578125,304561.07049560547,6519130.911621094,6519126.034912109,4.98406982421875,1.022015018773467
812.1058349609375,4687.888671875,840.92138671875,4711.9873046875,304548.02645874023,304555.2303466797,6519054.027832031,6519048.003173828,7.203887939453125,1.195733881752239
815.63232421875,6704.9609375,851.86083984375,6753.53515625,304548.9080810547,304557.96520996094,6518549.759765625,6518537.6162109375,12.1435546875,1.3407730874979784
813.151123046875,6704.578125,849.279052734375,6749.4443359375,304548.2877807617,304557.3197631836,6518549.85546875,6518538.638916016,11.216552734375,1.2418705230436546
921.028076171875,6955.16796875,1000.0,7032.2666015625,304575.25701904297,304595.0,6518487.2080078125,6518467.933349609,19.74298095703125,1.0242973311884889
916.659423828125,9206.603515625,998.4571533203125,9279.4140625,304574.16485595703,304594.6142883301,6517924.349121094,6517906.146484375,20.449432373046875,1.123432428444969
899.0921630859375,9330.9921875,962.4287109375,9383.1875,304569.7730407715,304585.6071777344,6517893.251953125,6517880.203125,15.834136962890625,1.2134527952402334
864.9981689453125,11078.29296875,913.9449462890625,11125.744140625,304561.2495422363,304573.48623657227,6517456.4267578125,6517444.563964844,12.2366943359375,1.0315188310351924
1000.330810546875,929.501953125,1056.30517578125,989.3402099609375,304595.0827026367,304609.0762939453,6519993.624511719,6519978.66494751,14.959564208984375,1.0690296635858874
1002.5953369140625,929.3795166015625,1055.146240234375,993.5869140625,304595.6488342285,304608.7865600586,6519993.65512085,6519977.603271484,16.051849365234375,1.2218133924278218
951.4130859375,2449.748046875,972.49267578125,2470.15966796875,304582.8532714844,304588.1231689453,6519613.562988281,6519608.460083008,5.2698974609375,1.0327249240485132
