xmin,ymin,xmax,ymax,utm_left,utm_right,utm_top,utm_bottom,box_size,ratio,number_of_hits
13.17727279663086,425.92230224609375,45.1967887878418,454.6719970703125,304348.29431819916,304356.29919719696,6520119.5194244385,6520112.332000732,8.004878997802734,1.1137341174222721,1
154.03688049316406,7277.82861328125,184.18577575683594,7308.86328125,304383.5092201233,304391.0464439392,6518406.54284668,6518398.7841796875,7.7586669921875,1.0293799390435856,1
102.88372802734375,7260.1806640625,133.0825653076172,7289.578125,304370.72093200684,304378.2706413269,6518410.954833984,6518403.60546875,7.549709320068359,1.0272600529847524,1
475.41705322265625,6275.03271484375,515.2552490234375,6309.158203125,304463.85426330566,304473.81381225586,6518657.241821289,6518648.710449219,9.959548950195312,1.1674029532544463,1
626.779296875,350.7669677734375,647.0997924804688,378.59210205078125,304501.69482421875,304506.7749481201,6520138.308258057,6520131.351974487,6.9562835693359375,1.3693137617103843,1
686.461669921875,2009.3619384765625,759.9322509765625,2082.996337890625,304516.61541748047,304534.98306274414,6519723.659515381,6519705.250915527,18.408599853515625,1.0022297136761864,1
650.83642578125,2033.0107421875,680.5707397460938,2071.10888671875,304507.7091064453,304515.1426849365,6519717.747314453,6519708.22277832,9.5245361328125,1.2812854729487013,1
681.19873046875,4720.3212890625,710.7405395507812,4746.68798828125,304515.2996826172,304522.6851348877,6519045.919677734,6519039.32800293,7.3854522705078125,1.1204212115039167,1
701.335693359375,5320.5078125,775.6910400390625,5390.58837890625,304520.33392333984,304538.92276000977,6518895.873046875,6518878.352905273,18.588836669921875,1.0609980839574986,1
672.5332641601562,10035.7607421875,696.57470703125,10060.5859375,304513.13331604004,304519.1436767578,6517717.059814453,6517710.853515625,6.206298828125,1.0326000583911956,1
952.6834106445312,3517.8515625,978.5317993164062,3545.991943359375,304583.17085266113,304589.6329498291,6519346.537109375,6519339.50201416,7.03509521484375,1.0886706021251475,1
940.5143432617188,3448.659423828125,978.4331665039062,3486.944091796875,304580.12858581543,304589.608291626,6519363.835144043,6519354.263977051,9.5711669921875,1.0096481033766753,1
812.1058349609375,4687.888671875,840.92138671875,4711.9873046875,304548.02645874023,304555.2303466797,6519054.027832031,6519048.003173828,7.203887939453125,1.195733881752239,1
815.6323852539062,6704.9609375,851.86083984375,6753.53564453125,304548.9080963135,304557.96520996094,6518549.759765625,6518537.616088867,12.1436767578125,1.3407888241765462,1
864.9981079101562,11078.29296875,913.9449462890625,11125.744140625,304561.24952697754,304573.48623657227,6517456.4267578125,6517444.563964844,12.236709594726562,1.0315201173080881,1
1117.1331787109375,3348.361328125,1182.398193359375,3398.544189453125,304624.28329467773,304640.59954833984,6519388.909667969,6519376.363952637,16.316253662109375,1.3005439092381865,1
1085.994873046875,3600.0,1144.498291015625,3645.7099609375,304616.4987182617,304631.1245727539,6519326.0,6519314.572509766,14.6258544921875,1.279883350780866,1
1100.671875,10845.6875,1132.7489013671875,10876.2236328125,304620.16796875,304628.1872253418,6517514.578125,6517506.944091797,8.019256591796875,1.0504613195177332,1
1088.8927001953125,10802.306640625,1114.451904296875,10829.970703125,304617.2231750488,304623.6129760742,6517525.423339844,6517518.507324219,6.916015625,1.0823522669201122,1
1271.658935546875,626.029296875,1360.190673828125,724.4448852539062,304662.9147338867,304685.04766845703,6520069.492675781,6520044.8887786865,24.603897094726562,1.1116418844760165,1
1322.8607177734375,1497.15478515625,1343.962158203125,1526.4730224609375,304675.71517944336,304680.9905395508,6519851.711303711,6519844.381744385,7.329559326171875,1.389395070084402,1
1200.0,7899.94091796875,1293.505126953125,7999.720703125,304645.0,304668.3762817383,6518251.014770508,6518226.069824219,24.9449462890625,1.0671049642686496,1
1293.101318359375,8272.154296875,1358.9461669921875,8353.201171875,304668.27532958984,304684.73654174805,6518157.961425781,6518137.699707031,20.26171875,1.2308764722349421,1
1443.071044921875,2164.372314453125,1470.094482421875,2193.7568359375,304705.76776123047,304712.52362060547,6519684.906921387,6519677.560791016,7.34613037109375,1.0873717114773056,1
1508.5985107421875,3628.833251953125,1545.0130615234375,3654.201904296875,304722.14962768555,304731.25326538086,6519318.791687012,6519312.449523926,9.1036376953125,1.435415263208546,1
1403.5604248046875,3815.63916015625,1484.978759765625,3938.4345703125,304695.8901062012,304716.2446899414,6519272.090209961,6519241.391357422,30.6988525390625,1.5082034067039591,1
1400.0,4115.318359375,1433.5888671875,4160.59130859375,304695.0,304703.3972167969,6519197.170410156,6519185.852172852,11.3182373046875,1.3478557929931676,1
1423.3756103515625,4008.308349609375,1527.8544921875,4104.8271484375,304700.8439025879,304726.9636230469,6519223.922912598,6519199.793212891,26.119720458984375,1.082471840765314,1
1403.7437744140625,4279.69287109375,1455.0338134765625,4334.57373046875,304695.9359436035,304708.75845336914,6519156.076782227,6519142.356567383,13.72021484375,1.0700100912016146,1
1600.0,7914.8583984375,1663.66162109375,8000.0,304745.0,304760.91540527344,6518247.285400391,6518226.0,21.285400390625,1.337408631758182,1
1732.093994140625,8729.6298828125,1798.3709716796875,8799.3935546875,304778.02349853516,304794.5927429199,6518043.592529297,6518026.151611328,17.44091796875,1.052607926091417,1
2003.027587890625,3328.048095703125,2081.76806640625,3392.75341796875,304845.75689697266,304865.44201660156,6519393.987976074,6519377.811645508,19.68511962890625,1.2169088377673725,1
2344.125244140625,6600.0,2368.103759765625,6625.6171875,304931.03131103516,304937.0259399414,6518576.0,6518569.595703125,6.404296875,1.0683391708072005,1
