xmin,ymin,xmax,ymax,utm_left,utm_right,utm_top,utm_bottom,box_size,ratio,number_of_hits
13.17727279663086,425.92230224609375,45.1967887878418,454.6719970703125,304348.29431819916,304356.29919719696,6520119.5194244385,6520112.332000732,8.004878997802734,1.1137341174222721,3
11.463294982910156,2446.062255859375,78.64329528808594,2510.671875,304347.8658237457,304364.660823822,6519614.484436035,6519598.33203125,16.795000076293945,1.0397832582630808,2
64.73395538330078,3716.099853515625,105.11844635009766,3749.002197265625,304361.1834888458,304371.2796115875,6519296.975036621,6519288.749450684,10.096122741699219,1.227404688056512,2
154.03688049316406,7277.82861328125,184.18577575683594,7308.86328125,304383.5092201233,304391.0464439392,6518406.54284668,6518398.7841796875,7.7586669921875,1.0293799390435856,4
102.88372802734375,7260.1806640625,133.0825653076172,7289.578125,304370.72093200684,304378.2706413269,6518410.954833984,6518403.60546875,7.549709320068359,1.0272600529847524,4
244.72952270507812,170.31961059570312,273.9564514160156,195.73040771484375,304406.18238067627,304413.489112854,6520183.420097351,6520177.067398071,7.306732177734375,1.1501775632580367,4
200.0,1216.9656982421875,252.80459594726562,1280.681640625,304395.0,304408.2011489868,6519921.758575439,6519905.829589844,15.928985595703125,1.2066363020075699,1
478.62310791015625,631.5307006835938,527.2477416992188,687.03125,304464.65577697754,304476.8119354248,6520068.117324829,6520054.2421875,13.875137329101562,1.1414080681239063,2
475.41705322265625,6275.03271484375,515.2552490234375,6309.158203125,304463.85426330566,304473.81381225586,6518657.241821289,6518648.710449219,9.959548950195312,1.1674029532544463,3
463.7416076660156,6769.55322265625,496.1153869628906,6800.0,304460.9354019165,304469.0288467407,6518533.611694336,6518526.0,8.09344482421875,1.0632908347365888,1
626.779296875,350.7669677734375,647.0997924804688,378.59210205078125,304501.69482421875,304506.7749481201,6520138.308258057,6520131.351974487,6.9562835693359375,1.3693137617103843,1
717.345458984375,1124.70654296875,788.2168579101562,1194.24853515625,304524.3363647461,304542.05421447754,6519944.823364258,6519927.437866211,17.717849731445312,1.019116604176321,2
655.4825439453125,1226.6185302734375,712.9108276367188,1278.4761962890625,304508.8706359863,304523.2277069092,6519919.345367432,6519906.380950928,14.357070922851562,1.107421295707809,2
686.461669921875,2009.3619384765625,759.9322509765625,2082.996337890625,304516.61541748047,304534.98306274414,6519723.659515381,6519705.250915527,18.408599853515625,1.0022297136761864,3
650.83642578125,2033.0107421875,680.5707397460938,2071.10888671875,304507.7091064453,304515.1426849365,6519717.747314453,6519708.22277832,9.5245361328125,1.2812854729487013,3
681.19873046875,4720.3212890625,710.7405395507812,4746.68798828125,304515.2996826172,304522.6851348877,6519045.919677734,6519039.32800293,7.3854522705078125,1.1204212115039167,2
701.335693359375,5320.5078125,775.6910400390625,5390.58837890625,304520.33392333984,304538.92276000977,6518895.873046875,6518878.352905273,18.588836669921875,1.0609980839574986,4
715.976318359375,6655.13818359375,748.89306640625,6684.82470703125,304523.99407958984,304532.22326660156,6518562.215454102,6518554.793823242,8.22918701171875,1.1088111451034572,2
672.5332641601562,10035.7607421875,696.57470703125,10060.5859375,304513.13331604004,304519.1436767578,6517717.059814453,6517710.853515625,6.206298828125,1.0326000583911956,3
743.980712890625,11073.5712890625,790.22607421875,11120.8583984375,304530.99517822266,304542.5565185547,6517457.607177734,6517445.785400391,11.82177734375,1.0225265414077636,2
919.9071044921875,2545.205322265625,954.0974731445312,2599.303955078125,304574.97677612305,304583.52436828613,6519589.698669434,6519576.1740112305,13.524658203125,1.5822769670192351,1
952.6834106445312,3517.8515625,978.5317993164062,3545.991943359375,304583.17085266113,304589.6329498291,6519346.537109375,6519339.50201416,7.03509521484375,1.0886706021251475,2
940.5143432617188,3448.659423828125,978.4331665039062,3486.944091796875,304580.12858581543,304589.608291626,6519363.835144043,6519354.263977051,9.5711669921875,1.0096481033766753,3
812.1058349609375,4687.888671875,840.92138671875,4711.9873046875,304548.02645874023,304555.2303466797,6519054.027832031,6519048.003173828,7.203887939453125,1.195733881752239,3
815.6323852539062,6704.9609375,851.86083984375,6753.53564453125,304548.9080963135,304557.96520996094,6518549.759765625,6518537.616088867,12.1436767578125,1.3407888241765462,3
864.9981079101562,11078.29296875,913.9449462890625,11125.744140625,304561.24952697754,304573.48623657227,6517456.4267578125,6517444.563964844,12.236709594726562,1.0315201173080881,3
1002.8526000976562,929.7161865234375,1055.2879638671875,990.18212890625,304595.7131500244,304608.8219909668,6519993.570953369,6519978.454467773,15.116485595703125,1.1531519576859997,1
1037.1973876953125,1211.4718017578125,1116.071533203125,1300.3507080078125,304604.2993469238,304624.0178833008,6519923.132049561,6519900.912322998,22.2197265625,1.1268446165441695,1
1117.1331787109375,3348.361328125,1182.398193359375,3398.544189453125,304624.28329467773,304640.59954833984,6519388.909667969,6519376.363952637,16.316253662109375,1.3005439092381865,3
1085.994873046875,3600.0,1144.498291015625,3645.7099609375,304616.4987182617,304631.1245727539,6519326.0,6519314.572509766,14.6258544921875,1.279883350780866,3
1100.671875,10845.6875,1132.7489013671875,10876.2236328125,304620.16796875,304628.1872253418,6517514.578125,6517506.944091797,8.019256591796875,1.0504613195177332,3
1088.8927001953125,10802.306640625,1114.451904296875,10829.970703125,304617.2231750488,304623.6129760742,6517525.423339844,6517518.507324219,6.916015625,1.0823522669201122,2
1271.658935546875,626.029296875,1360.190673828125,724.4448852539062,304662.9147338867,304685.04766845703,6520069.492675781,6520044.8887786865,24.603897094726562,1.1116418844760165,3
