60.820793,41.928432,21285
61.029156,42.014065,21286
66.984642,39.676445,22778
58.198143,37.965225,31674
61.027279,42.010719,31681
61.030762,42.005459,31682
59.377666,42.393986,31687
58.383575,42.296486,31690
60.276379,42.080006,31694
60.325935,42.027077,31695
61.122486,41.740955,31696
60.73708,41.70578,31702
60.718994,41.829445,31703
61.018295,41.921207,31704
60.784447,41.930313,31705
61.157333,42.008022,31707
61.100986,42.017895,31708
60.89938,41.902836,31709
58.395847,42.287868,31716
58.397869,42.409615,31720
