xmin,ymin,xmax,ymax,deg_left,deg_top,deg_right,deg_bottom
400.3097229003906,450.8172607421875,416.12481689453125,462.0175476074219,65.22396043424631,31.640202396433043,65.22538112831178,31.639196257545287
314.64898681640625,499.8048095703125,334.8574523925781,514.2076416015625,65.21626539939899,31.635801770048655,65.21808075674856,31.634507941633828
172.71066284179688,1288.4849853515625,186.0330810546875,1297.752197265625,65.20351486281612,31.56495342443002,65.20471163600632,31.564120936619663
510.0954895019531,1207.2613525390625,523.7921142578125,1221.95751953125,65.233822657458,31.572249867508738,65.23505304619391,31.570929688366032
611.9282836914062,1615.926513671875,625.810546875,1628.8228759765625,65.2429704530025,31.53553885147546,65.24421751792211,31.534380351538676
560.7492065429688,2090.763427734375,580.0906982421875,2101.02294921875,65.23837295827954,31.49288352573881,65.24011043404066,31.491961897243094
1016.0153198242188,162.2759552001953,1031.899658203125,176.9495391845703,65.27927020906976,31.66612250291986,65.28069712346417,31.664804352443262
1016.8616333007812,1037.896728515625,1030.8984375,1049.9852294921875,65.27934623470288,31.587464150543678,65.28060718227812,31.586378222024745
1115.9931640625,1651.779541015625,1128.716552734375,1659.6368408203125,65.28825137162502,31.532318119230975,65.289394333076,31.53161228598033
1178.42578125,1418.96826171875,1191.951171875,1429.451416015625,65.29385978904973,31.553231912281756,65.29507479556194,31.55229019450869
1153.684814453125,2008.8206787109375,1168.4345703125,2021.1319580078125,65.29163727018799,31.500244568125865,65.29296226330054,31.49913862708992
1534.08056640625,133.10838317871094,1546.453125,144.71011352539062,65.32580880198735,31.668742670494613,65.32692024783618,31.66770046932535
1674.318359375,1265.3743896484375,1693.540283203125,1277.6102294921875,65.33840657727085,31.567029484564543,65.34013331206735,31.565930320369976
1411.2828369140625,1030.7353515625,1423.3289794921875,1040.26416015625,65.31477769426155,31.58810746798091,65.31585981766081,31.587251480540992
1549.74658203125,2057.453125,1560.0240478515625,2064.93896484375,65.32721610411507,31.495875841145306,65.3281393445779,31.495203376710695
1421.2523193359375,2003.3468017578125,1431.8597412109375,2012.2720947265625,65.31567326810499,31.500736294858903,65.31662614902453,31.499934522149996
1746.562255859375,2246.863037109375,1759.9144287109375,2254.91357421875,65.34489635691048,31.478860859244147,65.34609580300535,31.478137667191074
1488.693115234375,2369.221435546875,1502.5750732421875,2378.12890625,65.32173157787786,31.467869217298468,65.32297861538305,31.46706904559092
1861.095947265625,962.5787353515625,1870.818359375,971.2146606445312,65.35518509346416,31.594230080986527,65.35605847260379,31.59345430261821
2131.50537109375,1556.9180908203125,2142.42578125,1564.70654296875,65.37947638530363,31.540839668289394,65.38045738243886,31.540140019728938
2222.547119140625,2116.67138671875,2235.474609375,2130.04931640625,65.38765480467998,31.490556174185212,65.38881610088627,31.489354414314395
1952.3699951171875,1923.245361328125,1963.4647216796875,1929.31005859375,65.36338438068701,31.5079319296807,65.36438103693143,31.507387128655974
1861.5648193359375,2341.700927734375,1872.748779296875,2350.373291015625,65.35522721295887,31.47034142657794,65.35623188517586,31.46956237492944
2054.946044921875,2623.31494140625,2064.369384765625,2630.5185546875,65.37259894401943,31.445043609307568,65.37344545704033,31.444396497716426
2668.034423828125,1744.56494140625,2685.802490234375,1757.256591796875,65.42767361014819,31.52398306489957,65.42926974271037,31.522842954546913
2552.09423828125,2026.3123779296875,2575.150390625,2043.788330078125,65.41725852607614,31.498673262050524,65.41932969548049,31.497103370558573
